"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?context=0_Orion.Nodes_17149&withRelationships=true&charts=0_Orion.Nodes_17149-Orion.PerfStack.Events;0_Orion.Nodes_17149-Orion.PerfStack.Status;&startTime=2022-01-01T05:00:00.000Z&endTime=2022-03-01T05:00:00.000Z"")"
Start,2022-01-01 00:00:00,End,2022-03-01 00:00:00

"Custom Chart"
Entity,Metric,Date/Time,Value,Entity,Metric,Date/Time,Value,Entity,Metric,Date/Time,Value,Entity,Metric,Date/Time,Value,
"RNEC-VM-09","Events",2022-01-22 21:06:00,80,"RNEC-VM-09","Critical",2022-01-22 21:06:00,0,"RNEC-VM-09","Warning",2022-01-22 21:06:00,40,"RNEC-VM-09","Informational",2022-01-22 21:06:00,40,
"RNEC-VM-09","Events",2022-01-23 03:00:00,88,"RNEC-VM-09","Critical",2022-01-23 03:00:00,0,"RNEC-VM-09","Warning",2022-01-23 03:00:00,42,"RNEC-VM-09","Informational",2022-01-23 03:00:00,46,
"RNEC-VM-09","Events",2022-01-23 08:54:00,99,"RNEC-VM-09","Critical",2022-01-23 08:54:00,0,"RNEC-VM-09","Warning",2022-01-23 08:54:00,48,"RNEC-VM-09","Informational",2022-01-23 08:54:00,51,
"RNEC-VM-09","Events",2022-01-23 14:48:00,102,"RNEC-VM-09","Critical",2022-01-23 14:48:00,0,"RNEC-VM-09","Warning",2022-01-23 14:48:00,50,"RNEC-VM-09","Informational",2022-01-23 14:48:00,52,
"RNEC-VM-09","Events",2022-01-23 20:42:00,90,"RNEC-VM-09","Critical",2022-01-23 20:42:00,0,"RNEC-VM-09","Warning",2022-01-23 20:42:00,41,"RNEC-VM-09","Informational",2022-01-23 20:42:00,49,
"RNEC-VM-09","Events",2022-01-24 02:36:00,88,"RNEC-VM-09","Critical",2022-01-24 02:36:00,0,"RNEC-VM-09","Warning",2022-01-24 02:36:00,43,"RNEC-VM-09","Informational",2022-01-24 02:36:00,45,
"RNEC-VM-09","Events",2022-01-24 08:30:00,88,"RNEC-VM-09","Critical",2022-01-24 08:30:00,0,"RNEC-VM-09","Warning",2022-01-24 08:30:00,43,"RNEC-VM-09","Informational",2022-01-24 08:30:00,45,
"RNEC-VM-09","Events",2022-01-24 14:24:00,80,"RNEC-VM-09","Critical",2022-01-24 14:24:00,0,"RNEC-VM-09","Warning",2022-01-24 14:24:00,35,"RNEC-VM-09","Informational",2022-01-24 14:24:00,45,
"RNEC-VM-09","Events",2022-01-24 20:18:00,92,"RNEC-VM-09","Critical",2022-01-24 20:18:00,0,"RNEC-VM-09","Warning",2022-01-24 20:18:00,46,"RNEC-VM-09","Informational",2022-01-24 20:18:00,46,
"RNEC-VM-09","Events",2022-01-25 02:12:00,82,"RNEC-VM-09","Critical",2022-01-25 02:12:00,0,"RNEC-VM-09","Warning",2022-01-25 02:12:00,41,"RNEC-VM-09","Informational",2022-01-25 02:12:00,41,
